nom_sample;dent;hauteur_sample;d13CVPDB_COR;d13C/12C_SD;d18OVPD_COR;d18O/16O _SD;d18Ovsmow;predicted_phosphate_Iacumin1996;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 1;M2;83,12;-11,5085625;0,015;-5,5871875;0,026;25,15011253;16,14711028;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 2;M2;79,58;-9,8665625;0,023;-5,4651875;0,014;25,27588355;16,27036588;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 3;M2;76,11;-12,1815625;0,01;-6,3481875;0,02;24,36559002;15,37827822;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 4;M2;72,62;-11,8595625;0,011;-6,5801875;0,015;24,1264189;15,14389053;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 5;M2;69,13;-11,4735625;0,013;-6,4391875;0,014;24,27177721;15,28634167;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 6;M2;65,3;-12,1255625;0,012;-7,0371875;0,008;23,65529303;14,68218717;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 7;M2;61,06;-11,7705625;0,014;-7,1171875;0,012;23,57282023;14,60136383;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 8;M2;57,65;-12,1615625;0,016;-7,2951875;0,017;23,38931825;14,42153189;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 9;M2;53,95;-12,2435625;0,016;-6,8541875;0,016;23,84394956;14,86707057;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 10;M2;50,01;-12,1785625;0,019;-6,5811875;0,037;24,12538799;15,14288023;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 11;M2;45,82;-11,3245625;0,007;-5,8171875;0,026;24,91300323;15,91474317;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 12;M2;43,08;-11,6375625;0,01;-5,8151875;0,019;24,91506505;15,91676375;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 13;M2;39,05;-11,7415625;0,009;-5,9321875;0,025;24,79444858;15,79855961;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 14;M2;35,37;-11,3265625;0,011;-5,9931875;0,026;24,73156307;15,73693181;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 15;M2;30,85;-11,3725625;0,008;-5,8541875;0,013;24,87485956;15,87736237;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 16;M2;27,53;-11,1005625;0,01;-5,9841875;0,021;24,74084126;15,74602444;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 17;M2;23,42;-12,7915625;0,022;-7,3981875;0,03;23,28313452;14,31747183;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 18;M2;19,2;-11,8975625;0,011;-7,3821875;0,017;23,29962908;14,3336365;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 19;M2;15,6;-11,9835625;0,02;-7,2891875;0,024;23,39550371;14,42759364;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 20;M2;11,8;-11,7475625;0,009;-7,2871875;0,036;23,39756553;14,42961422;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 21;M2;8,46;-14,1545625;0,013;-7,2441875;0,036;23,44189466;14,47305677;;;;;;;;;;;;;;;;;
PIV0_Z125.533_M2 22;M2;4,17;-11,6755625;0,011;-7,7141875;0,013;22,95736696;13,99821963;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 1;M2;62,07;-11,8908;0,015;-6,131;0,026;24,58949079;15,59770097;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 2;M2;59,81;-11,7478;0,011;-6,486;0,019;24,22351774;15,23904739;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 3;M2;56,02;-12,4638;0,021;-6,994;0,016;23,69981546;14,72581915;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 4;M2;53,05;-11,8968;0,019;-6,799;0,023;23,90084291;14,92282605;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 5;M2;49,15;-11,6798;0,011;-6,81;0,014;23,8895029;14,91171284;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 6;M2;46,15;-11,6338;0,015;-6,935;0,022;23,76063915;14,78542637;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 7;M2;43,57;-11,5538;0,011;-7,165;0,025;23,52352985;14,55305925;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 8;M2;39,92;-11,6178;0,012;-7,01;0,013;23,6833209;14,70965448;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 9;M2;36,64;-11,7288;0,022;-6,868;0,026;23,82971012;14,85311592;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 10;M2;32,83;-11,9338;0,018;-6,387;0,011;24,32557783;15,33906627;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 11;M2;29,74;-11,8578;0,016;-5,949;0,023;24,77711641;15,78157408;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 12;M2;26,41;-11,7958;0,011;-5,697;0,023;25,03690573;16,03616762;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 13;M2;23,33;-11,6338;0,014;-5,435;0,021;25,30700415;16,30086407;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 14;M2;19,89;-11,4728;0,003;-6,15;0,02;24,5699035;15,57850543;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 15;M2;16,61;-11,4208;0,015;-6,052;0,032;24,67093268;15,67751403;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 16;M2;13,01;-12,3208;0,026;-6,258;0,036;24,45856522;15,46939392;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 17;M2;9,65;-11,5928;0,025;-6,586;0,014;24,12042674;15,13801821;;;;;;;;;;;;;;;;;
PIV0_Z124-41_M2 18;M2;6,64;-10,9498;0,02;-6,63;0,02;24,0750667;15,09356537;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 1;nd;67,41;-11,3391;0,024;-5,5265;0,015;25,21267589;16,20842237;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 2;nd;64,51;-11,1751;0,021;-4,9205;0,016;25,83740735;16,8206592;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 3;nd;61,32;-11,3441;0,007;-4,3445;0,026;26,43121151;17,40258727;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 4;nd;58,01;-11,0241;0,011;-3,7505;0,036;27,04357205;18,0027006;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 5;nd;54,55;-10,9581;0,005;-3,9255;0,027;26,8631628;17,82589954;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 6;nd;50,85;-10,8741;0,013;-4,1105;0,023;26,67244445;17,63899556;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 7;nd;46,68;-10,8891;0,021;-4,8045;0,012;25,95699291;16,93785305;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 8;nd;42,53;-10,9771;0,014;-4,5675;0,01;26,20131858;17,1772922;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 9;nd;38,58;-11,1071;0,017;-4,6315;0,035;26,13534034;17,11263353;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 10;nd;35,25;-10,8831;0,009;-5,1365;0,025;25,61473079;16,60243617;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 11;nd;31,03;-10,8111;0,016;-6,0615;0,007;24,66113904;15,66791625;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 12;nd;27,02;-10,6661;0,011;-6,4825;0,021;24,22712593;15,24258341;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 13;nd;22,86;-10,7231;0,022;-6,1605;0,021;24,55907895;15,56789737;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 14;nd;18,99;-10,8441;0,015;-5,9295;0,028;24,79721916;15,80127477;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 15;nd;14,84;-10,6401;0,013;-5,4965;0,035;25,24360319;16,23873112;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 16;nd;11,08;-10,3841;0,011;-5,2995;0,02;25,44669246;16,43775861;;;;;;;;;;;;;;;;;
Fritsch_LR1_c4_eq 17;nd;6,86;-10,5031;0,01;-4,7475;0,033;26,01575478;16,99543968;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 1;nd;90,4;-10,9681;0,017;-5,7127;0,031;25,02072044;16,02030603;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 2;nd;86,36;-10,9671;0,016;-5,9987;0,021;24,72588018;15,73136258;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 3;nd;82,3;-11,0251;0,016;-6,4137;0,011;24,29805253;15,31209148;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 4;nd;78,36;-11,1291;0,017;-6,2537;0,015;24,46299813;15,47373817;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 5;nd;74,35;-11,2671;0,021;-6,3437;0,017;24,37021623;15,38281191;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 6;nd;70,79;-11,1531;0,016;-6,3507;0,023;24,36299986;15,37573987;;;;;;;;;;;;;;;;;
Fritsch_LR2_c4_eq 7;nd;66,8;-11,1701;0,013;-5,8747;0,031;24,85371302;15,85663876;;;;;;;;;;;;;;;;;
